query_id,query_text,query_relevance_label,chunk_level,paper_id,chunk_idx,unique_id,text_hash,rank,similarity_score,paper_title,section_name,chunk_text,chunk_length,paper_abstract
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,sentence,9,0,sent_700,6ef4a0731892b9ab6a9b620fb4f15b60,1,0.6324676275253296,"Vegetation Trends, Drought Severity and Land Use-Land Cover Change during the Growing Season in Semi-Arid Contexts",title,"Vegetation Trends, Drought Severity and Land Use-Land Cover Change during the Growing Season in Semi-Arid Contexts",114,"Drought severity and impact assessments are necessary to effectively monitor droughts in semi-arid contexts. However, little is known about the influence land use-land cover (LULC) has-in terms of the..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,sentence,45,29,sent_7296,9ccb66590be0f8c214e4a707789a52bd,2,0.6044239401817322,"Urban sprawl and its impact on land use land cover dynamics of Sekondi-Takoradi metropolitan assembly, Ghana",content,"Vegetation and bare lands, however, decreased throughout the years.",67,"In Ghana, Sekondi-Takoradi has been one of the preferred cities for many people due to the prevalence of industries, the presence of harbor, and the airport. However, the discovery of oil off the coas..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,sentence,43,123,sent_7012,0a9afba967e7335548624bcf64ecc66b,3,0.6041301488876343,"Annual emissions of carbon from land use, land-use change, and forestry from 1850 to 2020",content,"In this interpretation, labeled degraded, there was a net loss of forest area, no change in cropland area, and an increase in other land.",137,"Estimates of the annual emissions of carbon from land use, land-use change, and forestry (LULUCF) are important for constructing global, regional, and national carbon budgets, which in turn help predi..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,sentence,9,13,sent_714,8bce6be7b4f3b7a264e8cc45e9ebcc53,4,0.594214141368866,"Vegetation Trends, Drought Severity and Land Use-Land Cover Change during the Growing Season in Semi-Arid Contexts",abstract,"Relating drought severity and intensities to LULC and change in selected drought years revealed that most lands affected by extreme and severe drought (in descending order) were in tree-covered areas (forests and woodlands), grassland/rangelands and croplands.",260,"Drought severity and impact assessments are necessary to effectively monitor droughts in semi-arid contexts. However, little is known about the influence land use-land cover (LULC) has-in terms of the..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,sentence,43,247,sent_7136,8feb6662dc019a6a9c78ccf504cbec54,5,0.5911432504653931,"Annual emissions of carbon from land use, land-use change, and forestry from 1850 to 2020",content,"Most scholars think that droughts, fires, and storms have so far been minor in replacing forests with other land cover.",119,"Estimates of the annual emissions of carbon from land use, land-use change, and forestry (LULUCF) are important for constructing global, regional, and national carbon budgets, which in turn help predi..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,sentence,9,87,sent_804,7b957047e86b7472930a26d5c0c7e823,6,0.5884060859680176,"Vegetation Trends, Drought Severity and Land Use-Land Cover Change during the Growing Season in Semi-Arid Contexts",content,"Using the example of the 2002-2003 drought-stricken growing season, the highest percentage of land impacted by extreme and severe droughts were found in tree-covered areas, croplands and grasslands, whereas improved vegetation trends were found mostly in wetlands and some instances in otherland areas including barelands.",322,"Drought severity and impact assessments are necessary to effectively monitor droughts in semi-arid contexts. However, little is known about the influence land use-land cover (LULC) has-in terms of the..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,sentence,9,6,sent_707,20e42c8e6fb81d04d52698a6ec2926e5,7,0.5825891494750977,"Vegetation Trends, Drought Severity and Land Use-Land Cover Change during the Growing Season in Semi-Arid Contexts",abstract,Further analyses by LULC types and land change highlighted the vulnerability of both human and natural systems to drought.,122,"Drought severity and impact assessments are necessary to effectively monitor droughts in semi-arid contexts. However, little is known about the influence land use-land cover (LULC) has-in terms of the..."
Query_2,#text': 'Pastoral production has often existed in some sort of symbiotic interaction with the [agriculture],1,sentence,71,41,sent_10174,6d942566f5552dc2a7c93bce19a50911,1,0.6180050373077393,Assessment of land use and land cover changes in Kenya's Mt. Elgon forest ecosystem,content,Secondary data indicated that increase in population and change in livelihoods sources from nomadic pastoralism to crop farming could explain the increase in land under mixed farming.,183,Current land-use trends in Kenya's montane forest ecosystems show that land uses are changing fast due to natural and anthropogenic factors and these changes could have devastating effects on the envi...
Query_2,#text': 'Pastoral production has often existed in some sort of symbiotic interaction with the [agriculture],1,sentence,43,232,sent_7121,f6883256ef4efaf4d6b8e333e36dd148,2,0.5750447511672974,"Annual emissions of carbon from land use, land-use change, and forestry from 1850 to 2020",content,"Clearly, croplands and pastures are (directly anthropogenic) land uses.",71,"Estimates of the annual emissions of carbon from land use, land-use change, and forestry (LULUCF) are important for constructing global, regional, and national carbon budgets, which in turn help predi..."
Query_2,#text': 'Pastoral production has often existed in some sort of symbiotic interaction with the [agriculture],1,sentence,33,59,sent_6155,767a3ece83fc3e986a6d51b465c2c026,3,0.5465580224990845,"Addressing uncertainty and bias in land use, land use change, and forestry greenhouse gas inventories",content,| Cropland and grassland:,25,"National greenhouse gas inventories (NGHGIs) will play an increasingly important role in tracking country progress against United Nations (UN) Paris Agreement commitments. Yet uncertainty in land use,..."
