query_id,query_text,query_relevance_label,paper_id,similarity_score,paper_title,paper_abstract,paper_sections
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,57,0.5269756317138672,"Vegetation Trends, Drought Severity and Land Use-Land Cover Change during the Growing Season in Semi-Arid Contexts","Drought severity and impact assessments are necessary to effectively monitor droughts in semi-arid contexts. However, little is known about the influence land use-land cover (LULC) has-in terms of the differences in annual sizes and configurations-on drought effects. Coupling remote sensing and Geographic Information System techniques, drought evolution was assessed and mapped. During the growing season, drought severity and the effects on LULC were examined and whether these differed between ar...","Introduction: Drought as a slow-onset event is increasingly an environmental hazard due to its negative impacts on natural and human systems, including livelihoods  | Materials and Methods:  | Description of the Study Location: Seventeen constituencies in the Central District of Botswana (CDB) in the eastern part of the country were used as case studies (Figure 
based resources upon which much of livelihoods are dependent would either be exacerbated or ameliorated depending on how the land is pu..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,9,0.5269756317138672,"Vegetation Trends, Drought Severity and Land Use-Land Cover Change during the Growing Season in Semi-Arid Contexts","Drought severity and impact assessments are necessary to effectively monitor droughts in semi-arid contexts. However, little is known about the influence land use-land cover (LULC) has-in terms of the differences in annual sizes and configurations-on drought effects. Coupling remote sensing and Geographic Information System techniques, drought evolution was assessed and mapped. During the growing season, drought severity and the effects on LULC were examined and whether these differed between ar...","Introduction: Drought as a slow-onset event is increasingly an environmental hazard due to its negative impacts on natural and human systems, including livelihoods  | Materials and Methods:  | Description of the Study Location: Seventeen constituencies in the Central District of Botswana (CDB) in the eastern part of the country were used as case studies (Figure 
based resources upon which much of livelihoods are dependent would either be exacerbated or ameliorated depending on how the land is pu..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,11,0.5044023990631104,Land Use Policy,"Information on Land Use and Land Cover (LULC) changes and the driving forces behind such modifications underpin a proper understanding of the dynamics of LULC changes. This study aimed to analyse the dynamics of LULC change trends and its driving factors in Jimma Geneti District (JGD) for the year 1973-2019. Five satellite images downloaded from USGS were used to analyze and assess the geospatial and temporal changes in LULC. In addition, in-depth household interviews, key informant interview, f...","Introduction: Land is an indispensable natural resource, which has enormous economic, social and biophysical uses. As a result, land use and land cover (LULC) are under a continuous changes mainly because of societal development and natural causes. LULC changes are fundamental processes on the earth's surface and have significant impacts on human society, climate, biodiversity, hydrological cycles, ecosystems, biogeochemical cycles and many other processes 
Changes in land cover have become key ..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,101,0.496543288230896,ISPRS Journal of Photogrammetry and Remote Sensing,"Products reveal that land cover change is significant across most land cover classes and time periods. The land cover product was validated using existing reference data from the legacy NLCD 2011 accuracy assessment, applied to the 2011 epoch of the NLCD 2016 product line. The legacy and new NLCD 2011 overall accuracies were 82% and 83%, respectively, (standard error (SE) was 0.5%), demonstrating a small but significant increase in overall accuracy. Between 2001 and 2016, the CONUS landscape exp...","Introduction: Change in land use and land cover type alters biophysical surface characteristics and can lead to major consequences including intensification of climate change, land degradation, and changes to biological diversity and ecosystem services 
However, databases that support large area land system science monitoring are relatively rare. There are numerous initiatives to map land cover globally and regionally, but mapping is not always monitoring. Further, change detection is not monito..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,90,0.49526357650756836,Past and Future Land Use/Land Cover Changes in the Ethiopian Fincha Sub-Basin,"The increasing human pressure on African regions is recognizable when looking at Land Use Land Cover (LULC) change maps, generally derived from satellite imagery. Using the Ethiopian Fincha watershed as a case study, the present work focuses on (i) identifying historical LULC change in the period 1989-2019; (ii) estimating LULC in the next thirty years, combining Geographical Information Systems (GIS) with Land Change Modelling (LCM). Landsat 5/8 images were combined with field evidence to map L...","Introduction: Land use is defined as how land is utilized by human beings and their habitats, usually with an accent on the practical role of land for economic activities, whereas land cover is a physical characteristic of the Earth's surface or attributes of a part of the Earth's land surface and immediate subsurface, including biota, soil, topography, surface and groundwater, and human structures 
The Land Change Modeler is a model used to evaluate the changing trend from one land use category..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,62,0.49489665031433105,"Analysis of Land Use/Land Cover Change and Its Implication On Natural Resources of the Dedo Watershed, Southwest Ethiopia","is study analyzed the land use/land cover (LULC) change and their causes and implications on the natural resources of the Dedo Watershed, Ethiopia. e study used 1984, 2000, and 2017  satellite images to detect the trends of land use/land cover change. Moreover, key informant interviews and focus group discussions were used to identify the driving forces linked to the changes and their impact on the natural resources of the watershed. e study identi ed ve LULC types as follows: cultivation, settl...","Introduction: Land use/land cover change (LULCC) is the modi cation of the Earth's terrestrial surface caused by human activities 
Land use/land cover changes (LULCCs) are triggered by the interplay of socioeconomic and natural environmental factors. Inappropriate farming practices, overgrazing, rapid growth in the human population 
Over the last decades, a number of studies conveyed the occurrences of LULC changes, their causes, and the resulting natural resource degradation in di erent parts o..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,87,0.4876648783683777,"Detecting and Analyzing Land Use and Land Cover Changes in the Region of Al-Jabal Al-Akhdar, Libya Using Time-Series Landsat Data from 1985 to 2017","The region of Al-Jabal Al-Akhdar in northeastern Libya has undergone rapid, wide-ranging changes in the land use and land cover (LULC) intensified by the conversion of natural resources for food purpose, urbanization, and other socioeconomic benefits. This study examined the use of geographic information system (GIS) and remote sensing techniques to gain a quantitative understanding of the spatiotemporal dynamics of LULC. In addition, the major factors behind LULC changes and decline of natural ...","Introduction: Many countries in the world are faced with rapid, wide-ranging changes in land use (e.g., human activities and various utilization of the land) and land cover (e.g., physical characteristics of the land surface) 
Globally, land use change through the conversion of the world's forest land to other uses continues on an increasing scale due to the unprecedented growth of the human population which increases the demand for food and land 
In Libya, LULC changes have been intensified by ..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,58,0.4876648783683777,"Detecting and Analyzing Land Use and Land Cover Changes in the Region of Al-Jabal Al-Akhdar, Libya Using Time-Series Landsat Data from 1985 to 2017","The region of Al-Jabal Al-Akhdar in northeastern Libya has undergone rapid, wide-ranging changes in the land use and land cover (LULC) intensified by the conversion of natural resources for food purpose, urbanization, and other socioeconomic benefits. This study examined the use of geographic information system (GIS) and remote sensing techniques to gain a quantitative understanding of the spatiotemporal dynamics of LULC. In addition, the major factors behind LULC changes and decline of natural ...","Introduction: Many countries in the world are faced with rapid, wide-ranging changes in land use (e.g., human activities and various utilization of the land) and land cover (e.g., physical characteristics of the land surface) 
Globally, land use change through the conversion of the world's forest land to other uses continues on an increasing scale due to the unprecedented growth of the human population which increases the demand for food and land 
In Libya, LULC changes have been intensified by ..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,74,0.4832538664340973,"Analysis and prediction of land cover changes using the land change modeler (LCM) in a semiarid river basin, Iran","Predicting future land cover (LC) changes is an important step in the proper planning and management of watersheds. As a susceptible area to salinity and desertification, receiving only about 195 mm rainfall annually, the Hable-Rud River basin is especially sensitive to land use/cover changes. Based on corrected LANDSAT satellite images for the years 1986, 2000, and 2017, the LC were extracted using the maximum likelihood (ML) method. LC changes were predicted by applying the land change modeler...","| INTRODUCTION: The dynamic and sometimes substantial transformation in land use/land cover (LULC) occurs due to socio-economic and natural changes. Although reasons for land cover changes vary depending on the nature and extent of the area, the main drivers can be identified as deforestation, rangeland degradation, and expansion of agriculture 
Analysis and prediction of LULC changes allows us to assess ecosystem changes and their environmental consequences at various temporal and spatial scale..."
Query_1,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,53,0.48034805059432983,"Effects of Long-Term Land Use and Land Cover Changes on Ecosystem Service Values: An Example from the Central Rift Valley, Ethiopia","Changes in land use and land cover (LULC) are the leading contributors to the decline and loss of ecosystem services in the world. The present study covered the Central Rift Valley lakes basin in Ethiopia, focusing on the valley floor and the East and West escarpments, to analyze changes in LULC and to estimate associated losses in ecosystem service values (ESVs). Covering both upstream and downstream areas in the basin, the study addressed major gaps in existing studies by connecting the source...","Introduction: The Millennium Ecosystem Assessment 
Pressures on ecosystem services are among the most critical global challenges 
In Sub-Sharan Africa, LULC under improper land management is a major challenge e.g., 
As in other Sub-Saharan African countries, the expansion of agriculture, urbanization, extraction of forest products, the prevalence of drought, poor land-use planning and increasing human and livestock populations are driving a significant change in LULC in Ethiopia, and these chang..."
