doc_id,authors,title,text,label,confidence,context
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",increase,CHANGE,1.0,The study observed a significant increase 12.77% in built-
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",increase,CHANGE,1.0,% followed by a slight increase in the cover of bare
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",increased,CHANGE,1.0,changes have fragmentated forest cover increased soil gully erosion surface runoff
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",expansion,CHANGE,1.0,city in 2002 approved the expansion of the core area towards
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",Expansion,CHANGE,1.0,LULC in the city. Expansion of Thimphu city in 2002
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",expansion,CHANGE,1.0,to acquire information about urban expansion evolution of land use possible
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",expansion,CHANGE,1.0,-2018 represents a rapid expansion of the city accompanied by
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",loss,CHANGE,1.0,understand biophysical changes such as loss of productive ecosystems biodiversity deterioration
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",loss,CHANGE,1.0,biodiversity deterioration of environmental quality loss of forest and agricultural lands
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",expansion,CHANGE,1.0,to i governments approval for expansion of the city in 2002
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",increase,CHANGE,1.0,in forest and agriculture and increase in urban population. These
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",expansion,CHANGE,1.0,LULC from the start of expansion to current area in 2002
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",increase,CHANGE,1.0,2002 to 2018. Significant increase in built-up areas
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",loss,CHANGE,1.0,areas were associated with parallel loss of important land cover types
