doc_id,authors,title,text,label,confidence,context,source
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",Bhutan,GEO,1.0,change detection and prediction in Bhutan s high altitude city of,rule
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u", Bhutan,GEO,0.9998645782470703, Bhutan,model
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u", Thimphu,GEO,0.9991678595542908, Thimphu,model
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u", Markov,OTHER,0.7234231233596802, Markov,model
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u", GIS,OTHER,0.8884086608886719, GIS,model
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u", Himalayas,GEO,0.969674825668335, Himalayas,model
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",Urban Development,LULC_process,0.9,with the establishment of National Urban Development Commission. Since then two,matcher
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, u",water bodies,LULC,0.9,as road networks drainage networks water bodies buildings and other important establishments,matcher
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies,Japan,GEO,1.0,the land cover map of Japan Aerospace Exploration Agency JAXA .,rule
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies,Asia,GEO,1.0,. The Pacific and Southeast Asia regions have witnessed considerable land,rule
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies,China,GEO,1.0,km long bordering the South China Sea in Vietnam known as,rule
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies,Thailand,GEO,1.0,Sea and the Gulf of Thailand. In the north Vietnam,rule
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies,Cambodia,GEO,1.0,in the west Laos and Cambodia. The length of the,rule
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies,992.96 ha,SURFACE_UNIT,1.0,1 267 projects . 73 992.96 ha of land was found to,rule
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, Vietnam,GEO,0.9999357461929321, Vietnam,model
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, Ministry of Natural Resources and Environment of Vietnam MoNRE,ORG,0.9992219805717468, Ministry of Natural Resources and Environment of Vietnam MoNRE,model
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, General Statistics Office of Vietnam GSO,ORG,0.9991565346717834, General Statistics Office of Vietnam GSO,model
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, Japan Aerospace Exploration Agency JAXA,ORG,0.9990334510803223, Japan Aerospace Exploration Agency JAXA,model
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, North Central,GEO,0.9915999174118042, North Central,model
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, Central Coast,GEO,0.9963527321815491, Central Coast,model
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, Red River Delta,GEO,0.9951143264770508, Red River Delta,model
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, Southeast,GEO,0.9947680234909058, Southeast,model
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, ABARES 2020,ORG,0.8353027105331421, ABARES 2020,model
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, ELECTRIS ET AL,ORG,0.9907608032226562, ELECTRIS ET AL,model
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, SETO ET AL,ORG,0.9868834018707275, SETO ET AL,model
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, Pacific,GEO,0.9879922866821289, Pacific,model
1,Tran Nguyen; Tuan,Environmental & Socio-economic Studies, Southeast Asia,GEO,0.9805189967155457, Southeast Asia,model
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,Land-use change and biodiversity: Challenges for assembling evidence on the greatest threat to natur,Europe,GEO,1.0,biomes in North America and Europe with warmer regions being acutely,rule
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,Land-use change and biodiversity: Challenges for assembling evidence on the greatest threat to natur,Africa,GEO,1.0,research in understudied regions including Africa and the Middle East is,rule
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,Land-use change and biodiversity: Challenges for assembling evidence on the greatest threat to natur,Asia,GEO,1.0,research in Africa and Southeast Asia appears to be stagnant or,rule
