term,label
term,LULC
annual cropland,LULC
perennial crops,LULC
grassland meadows,LULC
fallows,LULC
shrub land,LULC
forest,LULC
bare soil,LULC
build-up surface,LULC
water bodies,LULC
cereals,LULC
vegetables and melons,LULC
oilseed crops,LULC
root tuber crops with high starch or inulin content,LULC
beverage and spice crops,LULC
leguminous crops,LULC
sugar crops,LULC
other crops,LULC
term,LULC_process
process,LULC_process
deforestation,LULC_process
reforestation,LULC_process
forest restoration,LULC_process
afforestation,LULC_process
cultivation,LULC_process
abandon of crops,LULC_process
agricultural decline,LULC_process
agriculture abandonment,LULC_process
crop rotation,LULC_process
artificialisation,LULC_process
artificialization,LULC_process
artificial land,LULC_process
urbanisation,LULC_process
urbanization,LULC_process
urban development,LULC_process
desertification,LULC_process
erosion,LULC_process
savanniword,LULC_process
increase,LULC_process
decrease,LULC_process
expand,LULC_process
shrink,LULC_process
grow,LULC_process
decline,LULC_process
rise,LULC_process
fall,LULC_process
convert,LULC_process
transform,LULC_process
replace,LULC_process
turn into,LULC_process
change to,LULC_process
shift to,LULC_process
transition to,LULC_process
give way to,LULC_process
make way for,LULC_process
degrade,LULC_process
restore,LULC_process
reclaim,LULC_process
rehabilitate,LULC_process
regenerate,LULC_process
deteriorate,LULC_process
improve,LULC_process
enhance,LULC_process
damage,LULC_process
fragment,LULC_process
fragmentize,LULC_process
clear,LULC_process
log,LULC_process
cultivate,LULC_process
irrigate,LULC_process
abandon,LULC_process
afforest,LULC_process
reforest,LULC_process
deforest,LULC_process
urbanize,LULC_process
develop,LULC_process
mine,LULC_process
drain,LULC_process
flood,LULC_process
build sustainable,LULC_process
significant increase,LULC_process
slight increase,LULC_process
rural urban,LULC_process
economic development,LULC_process
urban development,LULC_PROCESS
future change,LULC_process
low transition,LULC_process
rapid development,LULC_process
expediated development,LULC_process
current forest,LULC_process
human process,LULC_process
current urbanization,LULC_process
highest land,LULC_process
economic process,LULC_process
rapid increase,LULC_process
agricultural land,LULC_process
annual increase,LULC_process
average increase,LULC_process
considerable land,LULC_process
raw land,LULC_process
main land,LULC_process
paddy land,LULC
urban land,LULC_process
rapid urbanization,LULC_process
urban economic,LULC_process
rural urbanization,LULC_process
unused land,LULC_process
major urban,LULC_process
global change,LULC_process
human land,LULC_process
diverse grassland,LULC
specific land,LULC_process
temperate forest,LULC_process
agricultural abandonment,LULC_process
dramatic land,LULC_process
important water,LULC
spatiotemporal change,LULC_process
random forest,LULC_process
overall land,LULC_process
complex process,LULC_process
process massive geographic,LULC_process
high land,LULC_process
sustainable development,LULC_process
sustainable land,LULC_process
different land,LULC_process
upcoming urbanization,LULC_process
mixed forest,LULC_process
residential land,LULC_process
annual land,LULC
total increase,LULC_process
simultaneous slight increase,LULC_process
steady decrease,LULC_process
global land,LULC_process
future land,LULC_process
overall change,LULC_process
actual land,LULC_process
probable change,LULC_process
informed land,LULC_process
initial soil,LULC_process
usle soil,LULC
appropriate land,LULC_process
major land,LULC_process
total surface,LULC_process
open water,LULC_process
temporal land,LULC_process
traditional agricultural,LULC_process
overall increase,LULC_process
mean surface,LULC
systematic urban,LULC_process
rapid urban,LULC_process
unplanned urbanization,LULC_process
land use/,LULC_process
massive process,LULC_process
ninth largest urban,LULC_process
largest urban,LULC_process
industrial development,LULC_process
urban change,LULC_process
ninth biggest urban,LULC_process
largest land,LULC_process
broad land,LULC_process
continued increase,LULC_process
systematic increase,LULC_process
significant change,LULC_process
major agricultural,LULC_process
spatial change,LULC_process
bare land,LULC
progressive decline,LULC_process
continuous decline,LULC_process
prominent land,LULC_process
exponential rise,LULC_process
explicit land,LULC_process
current land,LULC_process
modest decline,LULC_process
considerable decrease,LULC_process
natural land,LULC_process
massive land,LULC_process
new development,LULC_process
permanent crops,LULC_process
greatest rise,LULC_process
barren land,LULC_process
significant process,LULC_process
operational land,LULC_process
prevalent land,LULC_process
low land,LULC_process
abundant change,LULC_process
similar change,LULC_process
credible change,LULC_process
enhance effective,LULC_process
progressive urban,LULC_process
sustainable urban,LULC_process
future urban land,LULC_process
improve overall,LULC_process
distinct urban,LULC_process
total change,LULC_process
random process,LULC_process
overall annual change,LULC_process
land suitable,LULC_process
unsuitable land,LULC_process
systematic process,LULC_process
temporal transition,LULC_process
sustainable urban development,LULC_process
suitable land,LULC_process
unauthorised development,LULC_process
annual forest,LULC_process
historical land,LULC_process
continuous shrub,LULC
seasonal change,LULC_process
correct land,LULC_process
secondary forest,LULC_process
annual change,LULC_process
different annual,LULC
original land,LULC_process
native forest,LULC_process
significant decline,LULC_process
sustainable future land,LULC_process
unprecedented increase,LULC_process
noticeable decrease,LULC_process
rapid urban development,LULC_process
massive infrastructural development,LULC_process
significant decrease,LULC_process
highest positive net change,LULC_process
largest negative change,LULC_process
subtropical crops,LULC_process
extended cultivation,LULC_process
effective land,LULC_process
increase economic,LULC_process
better agricultural,LULC_process
seasonal surface,LULC_process
net increase,LULC_process
supervised land,LULC_process
major soil,LULC
degraded land,LULC_process
spatial development,LULC_process
dynamic process,LULC_process
planned development,LULC_process
biggest change,LULC_process
determined land,LULC_process
single transition,LULC_process
transition potential,LULC_process
primary development,LULC_process
important urban,LULC_process
uncontrolled urbanization,LULC_process
land usecover,LULC_process
detailed process,LULC_process
future urban,LULC_process
fresh water,LULC
horizontal development,LULC_process
soil bare,LULC
ongoing change,LULC_process
specific change,LULC_process
fundamental shift,LULC_process
dense forest,LULC_process
high annual,LULC
current urban,LULC_process
arable cropland,LULC_process
infrastructural development,LULC_process
total land,LULC_process
sustainable forest,LULC_process
potential change,LULC_process
unprecedented progressive land,LULC_process
public land,LULC_process
systematic land,LULC_process
