sentence_id,sentence,source,source_type,relationship,target,target_type,confidence
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",Sahel,LOC,LOCATED_IN,Africa,LOC,MEDIUM
1,Pastoral production has often existed in some sort of symbiotic interaction with the [agriculture],pastoral production,PROCESS,CAUSES,agriculture,LULC,HIGH
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",'An increase of land under cultivation',QUANTITY,INCREASES_BY,(1993),DATE,HIGH
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",can be in the form of,PROCESS,CAUSES,(either,CARDINAL,MEDIUM
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",(a),CARDINAL,CHANGE_TO,clearing more land within the present territory,PROCESS,HIGH
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",(b),CARDINAL,CHANGE_TO,migrating to other areas to develop new land for cultivation,PROCESS,HIGH
4,"(2006), who estimate an increase in the national [urban] share of 0.45 percent with a reduction in national rainfall of 1 percent",national,LOC,CAUSES,urban,LULC,HIGH
4,"(2006), who estimate an increase in the national [urban] share of 0.45 percent with a reduction in national rainfall of 1 percent",urban,LULC,INCREASES_BY,0.45 percent,QUANTITY,HIGH
4,"(2006), who estimate an increase in the national [urban] share of 0.45 percent with a reduction in national rainfall of 1 percent",urban,LULC,DECREASES_BY,1 percent,QUANTITY,HIGH
5,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.', '#text': '[Land use ]change in the study site'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_1', '#text': '2a'}, {'@type': 'figure', '@target': '#fig_1', '#text': '2b'}], '#text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",change,CHANGE,CAUSES,[Land use],LULC,HIGH
