sentence_id,sentence,source,relationship,target,confidence
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often con...",droughts,CAUSES,loss,HIGH
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often con...",loss,DECREASES_BY,woody_vegetation_cover,MEDIUM
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often con...",large_parts,LOCATED_IN,Sahel,HIGH
2,The forests of West and Central Africa probably originally covered a combined area of about 3 millio...,forests,LOCATED_IN,West and Central Africa,HIGH
2,The forests of West and Central Africa probably originally covered a combined area of about 3 millio...,forests,MEASURES,area of about 3 million km,MEDIUM
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) cleari...",increase,INCREASES_BY,cultivation,HIGH
4,"(2006), who estimate an increase in the national [urban] share of 0.45 percent with a reduction in n...",(2006),OCCURS_DURING,[study],HIGH
4,"(2006), who estimate an increase in the national [urban] share of 0.45 percent with a reduction in n...",[study],ENABLES,(estimation),MEDIUM
5,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.', '#text': '[Land use ]change...",1996 to 2017,OCCURS_DURING,change,HIGH
5,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.', '#text': '[Land use ]change...",change,INCREASES_BY,11.3% --FROM_TO-- 40% --TO-- 51.3%,HIGH
5,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.', '#text': '[Land use ]change...",change,INCREASES_BY,17% --FROM_TO-- 47% --TO-- 64%,HIGH
5,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.', '#text': '[Land use ]change...",loss,CAUSES,change,MEDIUM
5,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.', '#text': '[Land use ]change...",study_site,LOCATED_IN,study_site_area,HIGH
7,"[Forest] land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size ...",forest (1984),DECREASES_BY,forest (2002),HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) wil...",26%,DECREASES_BY,forest,HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) wil...",farmland,LOCATED_IN,> total area,MEDIUM
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) wil...",2050,OCCURS_DURING,> future,HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) wil...",1975,OCCURS_DURING,> past,HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) wil...",1990,OCCURS_DURING,> past,HIGH
9,"Although such schemes clearly have the potential to benefit biodiversity and the wider environment, ...",West_Africa,LOCATED_IN,tropical_zone,HIGH
9,"Although such schemes clearly have the potential to benefit biodiversity and the wider environment, ...",centuries_of_human_modification,CAUSES,substantial_decline,HIGH
10,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [...,variable means of all recorded trees and shrubs,MEASURES,differences in woody vegetation between land use types,HIGH
10,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [...,another variance analysis using GLM,ENABLES,assessment of contribution of size of individual trees and shrubs,MEDIUM
10,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [...,variable means of all recorded trees and shrubs,AFFECTS,differences in woody vegetation between land use types,HIGH
10,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [...,assessment of contribution of size of individual trees and shrubs,CAUSES,variation analysis using GLM,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodl...",forest,DECREASES_BY,5%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodl...",forest,DECREASES_BY,17%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodl...",woodland,DECREASES_BY,9%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodl...",savanna,DECREASES_BY,5%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodl...",savanna,DECREASES_BY,17%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodl...",savanna,INCREASES_BY,9%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodl...",farmland,INCREASES_BY,22%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodl...",degraded_savanna,INCREASES_BY,9%,HIGH
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] per...",decrease in herbaceous standing,CAUSES,limitation in fire spread,HIGH
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] per...",decrease in herbaceous standing,CAUSES,limitation in burnt areas size,HIGH
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] per...",shortening of fallow period,CAUSES,decrease in herbaceous standing,MEDIUM
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] per...",extension of cultivated and cleared fields,CAUSES,decrease in herbaceous standing,MEDIUM
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] per...",grazing by cattle,CAUSES,decrease in herbaceous standing,MEDIUM
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] per...",increase in landscape discontinuities,CAUSES,limitation in fire spread,MEDIUM
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] per...",increase in landscape discontinuities,CAUSES,limitation in burnt areas size,MEDIUM
13,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to lo...",urban sprawl,CAUSES,local food crises,HIGH
13,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to lo...",Bolgatanga,LOCATED_IN,area,HIGH
13,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to lo...",urban development,ENABLES,> urban sprawl,HIGH
13,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to lo...",urban development,OCCURS_DURING,> both study areas,HIGH
14,"describes Rwandan [agriculture] as caught in a ""low investment trap""; less than 10% of cropland is i...",less_than_10_percent,CAUSES,low_irrigation,LOW
15,"Due to the weeding practice, [bare soil] dominates in cropped fields in the early growing season whi...",weeding practice,CAUSES,change in LULC,HIGH
