sentence_id,sentence,source,source_label,relationship,target,target_label,confidence
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,DECREASES_BY,woody_vegetation,LULC,HIGH
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,AFFECTS,degraded_land,LULC,HIGH
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g","1970s, 1980s",DATE,OCCURS_DURING,loss,CHANGE,MEDIUM
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",Sahel,LOC,LOCATED_IN,Africa,LOC,HIGH
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,OCCURS_DURING,"1970s, 1980s",DATE,HIGH
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,CAUSES,degradation,PROCESS,HIGH
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",degradation,PROCESS,ENABLES,desertification,PROCESS,MEDIUM
4,"(2006), who estimate an increase in the national [urban] share of 0.45 percent with a reduction in national rainfall of 1 percent",estimate,PROCESS,CAUSES,an increase,QUANTITY,HIGH
4,"(2006), who estimate an increase in the national [urban] share of 0.45 percent with a reduction in national rainfall of 1 percent",an increase,QUANTITY,MEASURES,of 0.45 percent,PERCENT,HIGH
6,[Agriculture] in this region has been dominated over the past three decades by [cotton] production,Agriculture,LULC,INCREASES_BY,cotton production,PROCESS,LOW
6,[Agriculture] in this region has been dominated over the past three decades by [cotton] production,Agriculture,LULC,CAUSES,cotton production,PROCESS,MEDIUM
6,[Agriculture] in this region has been dominated over the past three decades by [cotton] production,cotton production,PROCESS,AFFECTS,Agriculture,LULC,HIGH
7,"[Forest] land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery [forest] did not change much","[""Forest""]",LULC,DECREASES_BY,"[""land""]",LOC,HIGH
7,"[Forest] land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery [forest] did not change much","[""Forest""]",LULC,OCCURS_DURING,"[""in 1984""]",DATE,MEDIUM
7,"[Forest] land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery [forest] did not change much","[""Forest""]",LULC,OCCURS_DURING,"[""in 2002""]",DATE,MEDIUM
7,"[Forest] land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery [forest] did not change much","[""Forest""]",LULC,CHANGE_TO,"[""Forest""]",LULC,LOW
7,"[Forest] land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery [forest] did not change much","[""Forest""]",LULC,CHANGE_TO,"[""land""]",LOC,LOW
7,"[Forest] land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery [forest] did not change much","[""land""]",LOC,CHANGE_TO,"[""land""]",LOC,LOW
7,"[Forest] land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery [forest] did not change much","[""land""]",LOC,CHANGE_TO,"[""Forest""]",LULC,LOW
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",26% and 31%,PERCENT,DECREASES_BY,total area,QUANTITY,HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,LULC,CHANGE_TO,farmland,LULC,HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,LULC,CHANGE_TO,degraded savanna,LULC,HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1975-1990,DATE,CAUSES,assumption,PROCESS,MEDIUM
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1990-2010,DATE,CAUSES,assumption,PROCESS,MEDIUM
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",assumption,PROCESS,ENABLES,conversion,CHANGE,HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",conversion,CHANGE,OCCURS_DURING,2050,DATE,HIGH
9,"Although such schemes clearly have the potential to benefit biodiversity and the wider environment, further research is required to quantify the benefits and risks, assess the scales over which benefits are being and are likely to be delivered, and to assess the socio-economic implications for livelihoods and land-use .'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.3.', '#text': 'Wider implications'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_0', '#text': '1'}, {'@type': 'bibr', '@target': '#b54', '#text': '(Laporte et al., 2007)'}, {'@type': 'bibr', '#text': '(Laurance et al., 2006a,b;'}, {'@type': 'bibr', '@target': '#b89', '#text': 'Wilkie et al., 2000;'}, {'@type': 'bibr', '@target': '#b92', '#text': 'Zhang et al., 2006)'}, {'@type': 'bibr', '@target': '#b16', '#text': '(Butler and Laurance, 2008)'}], '#text': 'The tropical [forest] zone in West Africa has experienced centuries of human modification, leading to a substantial decline in [forest] cover and loss of [forest] biodiversity","""tropical forest zone in West Africa""",LOC,LOCATED_IN,"""West Africa""",LOC,HIGH
