sentence_id,sentence,source,source_label,relationship,target,target_label,confidence
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,DATE,CAUSES,loss,CHANGE,HIGH
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,OCCURS_DURING,1970s and 1980s,DATE,HIGH
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,AFFECTS,woody vegetation cover,LULC_TYPE,HIGH
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",woody vegetation cover,LULC_TYPE,DECREASES_BY,irreversible,ADJECTIVE,MEDIUM
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",irreversible,ADJECTIVE,LOCATED_IN,large parts,QUANTITY,MEDIUM
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",large parts,QUANTITY,DESIGNATED_AS,degraded land,LULC_TYPE,HIGH
2,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",1996 to 2017,DATE,OCCURS_DURING,change,PROCESS,HIGH
2,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",change,PROCESS,INCREASES_BY,11.3%,PERCENT,HIGH
2,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",arable_lands,LULC_TYPE,DECREASES_BY,17%,PERCENT,HIGH
2,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,CHANGE,CAUSES,fallows,LULC_TYPE,HIGH
2,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped_fields,LULC_TYPE,INCREASES_BY,13.3%,PERCENT,HIGH
5,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural_vegetation,LULC_TYPE,DECREASES_BY,26%,PERCENT,HIGH
5,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural_vegetation,LULC_TYPE,DECREASES_BY,31%,PERCENT,HIGH
5,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",conversion_process,PROCESS,CAUSES,natural_vegetation_to_farmland,CHANGE,HIGH
5,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",degradation_process,PROCESS,CAUSES,natural_vegetation_to_degraded,CHANGE,HIGH
7,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",fire_spread,PROCESS,AFFECTS,burnt_areas,LULC,HIGH
7,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",grazing_by_cattle,PROCESS,CAUSES,herbaceous_standing,CHANGE,MEDIUM
7,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",shortened_period,CHANGE,CAUSES,herbaceous_standing,CHANGE,MEDIUM
7,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",increment_in_landscape_discontinuities,CHANGE,CAUSES,fire_spread,PROCESS,MEDIUM
8,"describes Rwandan as caught in a ""low investment trap"" less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",cropland,LULC_TYPE,DECREASES_BY,irrigation,PROCESS,HIGH
8,"describes Rwandan as caught in a ""low investment trap"" less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",irrigation,PROCESS,AFFECTS,cropland,LULC_TYPE,HIGH
9,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",growing,DATE,OCCURS_DURING,dominates,CHANGE,MEDIUM
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",fallows,LULC_TYPE,LOCATED_IN,agricultural_cycle,PROCESS,HIGH
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",population_growth,PROCESS,CAUSES,wood_resource_pressure,CHANGE,HIGH
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",wood_resource_pressure,CHANGE,AFFECTS,decrease,CHANGE,HIGH
